t	Vt	phi	theta	psi	PN	PE	H	ele	ail	rud	eng	H_cmd
1.790000	30.000007	0.000000	0.988353	0.000000	-1046.300023	0.000000	50.004646	0.993967	0.000000	0.000000	46.287907	50.000000
1.800000	30.000007	0.000000	0.988322	0.000000	-1046.000023	0.000000	50.004665	0.993967	0.000000	0.000000	46.287679	50.000000
1.810000	30.000007	0.000000	0.988291	0.000000	-1045.700022	0.000000	50.004684	0.993966	0.000000	0.000000	46.287451	50.000000
1.825000	30.000007	0.000000	0.988244	0.000000	-1045.250022	0.000000	50.004713	0.993965	0.000000	0.000000	46.286996	50.000000
1.835000	30.000007	0.000000	0.988213	0.000000	-1044.950022	0.000000	50.004732	0.993964	0.000000	0.000000	46.286769	50.000000
1.845000	30.000008	0.000000	0.988182	0.000000	-1044.650022	0.000000	50.004750	0.993963	0.000000	0.000000	46.286543	50.000000
1.855000	30.000008	0.000000	0.988151	0.000000	-1044.350022	0.000000	50.004769	0.993962	0.000000	0.000000	46.286317	50.000000
1.865000	30.000008	0.000000	0.988121	0.000000	-1044.050022	0.000000	50.004787	0.993961	0.000000	0.000000	46.286092	50.000000
1.875000	30.000008	0.000000	0.988090	0.000000	-1043.750022	0.000000	50.004805	0.993960	0.000000	0.000000	46.285867	50.000000
1.885000	30.000008	0.000000	0.988059	0.000000	-1043.450022	0.000000	50.004823	0.993959	0.000000	0.000000	46.285643	50.000000
1.895000	30.000008	0.000000	0.988029	0.000000	-1043.150022	0.000000	50.004841	0.993958	0.000000	0.000000	46.285419	50.000000
1.905000	30.000008	0.000000	0.987999	0.000000	-1042.850022	0.000000	50.004859	0.993957	0.000000	0.000000	46.285196	50.000000
1.920000	30.000008	0.000000	0.987953	0.000000	-1042.400022	0.000000	50.004885	0.993956	0.000000	0.000000	46.284974	50.000000
1.930000	30.000008	0.000000	0.987923	0.000000	-1042.100022	0.000000	50.004902	0.993955	0.000000	0.000000	46.284752	50.000000
1.940000	30.000009	0.000000	0.987893	0.000000	-1041.800022	0.000000	50.004919	0.993954	0.000000	0.000000	46.284531	50.000000
1.950000	30.000009	0.000000	0.987863	0.000000	-1041.500021	0.000000	50.004936	0.993952	0.000000	0.000000	46.284311	50.000000
1.960000	30.000009	0.000000	0.987834	0.000000	-1041.200021	0.000000	50.004953	0.993951	0.000000	0.000000	46.284091	50.000000
1.970000	30.000009	0.000000	0.987804	0.000000	-1040.900021	0.000000	50.004970	0.993950	0.000000	0.000000	46.283872	50.000000
1.980000	30.000009	0.000000	0.987774	0.000000	-1040.600021	0.000000	50.004986	0.993948	0.000000	0.000000	46.283654	50.000000
1.990000	30.000009	0.000000	0.987745	0.000000	-1040.300021	0.000000	50.005002	0.993947	0.000000	0.000000	46.283436	50.000000
2.000000	30.000009	0.000000	0.987716	0.000000	-1040.000021	0.000000	50.005019	0.993945	0.000000	0.000000	46.283219	50.000000
2.010000	30.000009	0.000000	0.987687	0.000000	-1039.700021	0.000000	50.005035	0.993944	0.000000	0.000000	46.283003	50.000000
2.020000	30.000009	0.000000	0.987658	0.000000	-1039.400021	0.000000	50.005050	0.993942	0.000000	0.000000	46.282788	50.000000
2.030000	30.000009	0.000000	0.987629	0.000000	-1039.100021	0.000000	50.005066	0.993941	0.000000	0.000000	46.282573	50.000000
2.040000	30.000009	0.000000	0.987600	0.000000	-1038.800021	0.000000	50.005081	0.993939	0.000000	0.000000	46.282360	50.000000
2.055000	30.000009	0.000000	0.987557	0.000000	-1038.350021	0.000000	50.005104	0.993936	0.000000	0.000000	46.281935	50.000000
2.065000	30.000010	0.000000	0.987528	0.000000	-1038.050021	0.000000	50.005120	0.993934	0.000000	0.000000	46.281723	50.000000
2.075000	30.000010	0.000000	0.987500	0.000000	-1037.750020	0.000000	50.005134	0.993932	0.000000	0.000000	46.281513	50.000000
2.085000	30.000010	0.000000	0.987472	0.000000	-1037.450020	0.000000	50.005149	0.993930	0.000000	0.000000	46.281303	50.000000
2.095000	30.000010	0.000000	0.987443	0.000000	-1037.150020	0.000000	50.005164	0.993929	0.000000	0.000000	46.281095	50.000000
2.110000	30.000010	0.000000	0.987402	0.000000	-1036.700020	0.000000	50.005186	0.993927	0.000000	0.000000	46.280887	50.000000
2.120000	30.000010	0.000000	0.987374	0.000000	-1036.400020	0.000000	50.005200	0.993925	0.000000	0.000000	46.280680	50.000000
2.130000	30.000010	0.000000	0.987346	0.000000	-1036.100020	0.000000	50.005214	0.993923	0.000000	0.000000	46.280474	50.000000
2.140000	30.000010	0.000000	0.987319	0.000000	-1035.800020	0.000000	50.005228	0.993921	0.000000	0.000000	46.280268	50.000000
2.150000	30.000010	0.000000	0.987291	0.000000	-1035.500020	0.000000	50.005242	0.993919	0.000000	0.000000	46.280064	50.000000
2.160000	30.000010	0.000000	0.987264	0.000000	-1035.200020	0.000000	50.005255	0.993917	0.000000	0.000000	46.279861	50.000000
